GeoFips,GeoName,1999,2000,2001,2002,2003,2004,2005,2006,2007
4015,"Mohave, AZ",18289,19042,20386,20947,21687,22966,24051,24620,25150
4017,"Navajo, AZ",14805,15043,16683,17417,18881,18946,20214,21429,22655
4019,"Pima, AZ",23963,24984,26750,26851,27927,29113,30916,33151,34532
4021,"Pinal, AZ",16976,17474,18307,18714,19344,21641,24157,25053,25293
4023,"Santa Cruz, AZ",17064,17234,19809,19918,23640,22790,24095,25518,27206
4025,"Yavapai, AZ",21099,21867,22634,22848,23708,25537,27486,28919,30497
4027,"Yuma, AZ*",17391,17894,18784,20183,21501,23496,24218,24943,26317
5001,"Arkansas, AR",23002,22936,23910,23617,27318,29283,27272,29021,30763
5003,"Ashley, AR",21250,21685,21533,21407,23148,23525,24849,26254,27353
5005,"Baxter, AR",21469,22218,22866,23558,23953,24794,26054,27980,29415
5007,"Benton, AR",29770,31527,33677,34567,36090,39270,42645,46759,50280
5009,"Boone, AR",20732,21216,21234,21983,22579,23842,24799,26159,27358
5011,"Bradley, AR",17736,18214,20164,20402,21676,23571,23393,24380,25812
5013,"Calhoun, AR",17985,19076,20133,20740,21058,21932,22691,22761,23951
5015,"Carroll, AR",18517,18561,19384,19038,19663,22142,22644,23419,25685
5017,"Chicot, AR",17771,18541,19120,18741,21278,22200,22536,23212,26024
5019,"Clark, AR",17929,19004,20109,20313,21701,22635,23483,24648,26028
5021,"Clay, AR",18777,19992,19981,19722,22872,23667,23552,24596,26631
5023,"Cleburne, AR",20863,21917,22309,22522,22712,24016,24781,26002,27350
5025,"Cleveland, AR",20943,21542,22903,22895,23619,25944,26599,26695,28305
5027,"Columbia, AR",20364,21183,21701,21839,22720,23991,25464,27354,28868
5029,"Conway, AR",21426,22408,22770,22698,23581,24972,25640,26249,28524
5031,"Craighead, AR",21614,22461,22535,23242,24828,25334,26148,26819,28108
5033,"Crawford, AR",17989,19065,19434,19480,20458,21537,22836,24319,25358
5035,"Crittenden, AR",20083,20273,21563,21795,23699,24782,24971,26546,27917
5037,"Cross, AR",18083,18921,19930,19500,22923,23983,23125,24575,25838
5039,"Dallas, AR",19284,20299,19907,20355,20797,22034,23241,24369,25909
5041,"Desha, AR",18561,18600,19823,19876,23698,23467,24056,25203,27577
5043,"Drew, AR",19230,20037,20548,20785,22905,24924,25613,26240,27628
5045,"Faulkner, AR",22334,22874,23324,23550,24167,25330,26547,28128,29612
5047,"Franklin, AR",19338,19767,20768,20819,21839,23474,23679,23733,25037
5049,"Fulton, AR",15836,17044,16941,17260,17713,17913,18639,19685,20488
5051,"Garland, AR",23048,23775,24455,24738,25656,26984,28662,30481,31676
5053,"Grant, AR",21789,22623,23304,23936,25240,25371,26564,27424,29912
5055,"Greene, AR",18804,19813,20083,19955,21767,23169,23310,24302,24941
5057,"Hempstead, AR",19306,19497,21074,20615,21223,22389,22223,22161,23653
5059,"Hot Spring, AR",17872,18644,19374,19577,20393,22265,23271,23931,24937
5061,"Howard, AR",21187,21475,22116,21623,22154,24745,25038,24378,26941
5063,"Independence, AR",20986,21135,22274,22444,23426,25057,26103,27338,28560
5065,"Izard, AR",17668,17919,19292,19800,20231,21333,21319,22099,23480
5067,"Jackson, AR",19560,20479,21971,21234,23757,23424,22249,23009,23738
5069,"Jefferson, AR",19172,20076,21121,22032,23311,24471,25006,25740,27208
5071,"Johnson, AR",17854,18316,19275,19533,19943,20885,21114,20918,22435
5073,"Lafayette, AR",18448,19400,20879,20598,21700,24368,24079,24038,25980
5075,"Lawrence, AR",17350,18751,19305,19423,21908,22081,21344,22023,23248
5077,"Lee, AR",15421,15762,17489,15879,21499,20407,18560,20520,23599
5079,"Lincoln, AR",15648,16031,16301,15696,17924,19453,18860,19027,20771
5081,"Little River, AR",19506,20108,20171,20348,21763,23511,23803,24529,27091
5083,"Logan, AR",18203,18611,20027,20118,21039,22348,23285,24068,26543
5085,"Lonoke, AR",22183,22909,24416,24598,26531,27157,27807,29094,30599
5087,"Madison, AR",19187,19246,20528,20712,21802,23990,24316,23997,25287
5089,"Marion, AR",16581,17321,17349,17592,18536,20083,20955,22293,23487
5091,"Miller, AR",20907,21720,21725,21683,22443,23836,24752,25916,27621
5093,"Mississippi, AR",18606,18745,26275,27569,27267,25204,23172,24842,26011
5095,"Monroe, AR",17622,18277,19656,18745,22355,22662,22970,24180,24816
5097,"Montgomery, AR",17637,18165,18949,18885,19723,20758,21066,21136,22397
5099,"Nevada, AR",18222,19094,20508,21186,21819,23997,24280,24819,26211
5101,"Newton, AR",14581,15166,16858,17406,17710,19413,19351,20548,21505
5103,"Ouachita, AR",18452,19476,19885,20491,21212,22960,24183,25646,26721
5105,"Perry, AR",19798,20631,22039,21914,22918,23937,24556,25432,26591
5107,"Phillips, AR",16793,17603,19078,18495,21678,22457,22034,22990,25826
5109,"Pike, AR",18047,17956,19617,19499,20222,22281,23429,23367,25543
5111,"Poinsett, AR",18032,18670,20409,20193,23551,24456,24122,25065,25626
5113,"Polk, AR",17554,17609,18697,17896,18550,20253,20998,21046,22626
5115,"Pope, AR",20213,21260,21991,22392,23086,24504,25979,26402,27474
5117,"Prairie, AR",19248,19793,20145,19445,23601,24635,22962,23909,25465
5119,"Pulaski, AR",29147,30552,32402,33418,35208,36433,39051,40382,42728
5121,"Randolph, AR",16389,17625,18709,19091,20580,21599,21838,22783,24236
5123,"St. Francis, AR",16510,16728,17327,17595,18510,20145,19909,20174,21294
5125,"Saline, AR",22094,23536,24408,24634,25169,27687,28730,29990,31723
5127,"Scott, AR",18850,18565,19952,19117,19363,21391,21450,20259,21650
5129,"Searcy, AR",15303,15793,16434,16951,18235,19964,20147,21145,22399
5131,"Sebastian, AR",24385,25668,25216,25454,26581,28932,29966,31668,32241
